what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019690778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419019697637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419019699017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419019699139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419019700314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019703437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019713175
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419019721038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419019726939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019731668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019747828
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1419019750091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419019753541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019770501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019810751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019834015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019836534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019839736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019852344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019868163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019903474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419019941210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419019943108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419020008488
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1419020010555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419020013269
