what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414608619210
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414608619300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414608642128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414608645051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608649361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608650971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414608650981
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1414608652291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608654552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608683457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414608691140
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1414608708531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608709869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608842231
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414608844631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608846321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608876346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414608876356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608879158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608885125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414608885135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608887415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608895156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414608895166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608900846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608953004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414608953014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608953356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608954506
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1414608959269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414608963550
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414608965290
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414608973333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608975423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608981641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414608981661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414608989924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609010188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414609010188
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414609012038
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414609012208
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1414609014978
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414609015944
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414609017419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609018699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609024035
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414609024041
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414609594772
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414609596612
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414609645132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414609645412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414609666422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414609666732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609671322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609671462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609671562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414609677533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414609693087
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414609695459
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414609695689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414609695749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414609699042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414609704656
