what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419023533463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023537302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023810440
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1419023812144
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1419023813874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419023823326
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419023825083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023826201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023830902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023832917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023968721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419023977896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419023988000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419023990250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023994513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023995560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419023996024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024019530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419024023636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024035854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024043340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419024045917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024050135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024059666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419024062721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419024069548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419024075759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024079586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024093165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024098347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024106453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024116223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024157429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419024165289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419024171324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419024171936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024174890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419024232918
