what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389689822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389689938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389690105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389691920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389692568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389730600
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415389741785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389746756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389752642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389758240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389876897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389879526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389880506
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415389880605
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415389880606
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415389881466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389883510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389884572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415389884606
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415389887806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389890094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1415389890115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415389890305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389892653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389906208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1415389906231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415389921110
