what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414529448186
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1414529449465
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414529450290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414529450490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529454094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529466709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414529491706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414529494212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414529503248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414529506179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414529592731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414529599730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529599893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529601212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529607494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529613132
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414529614099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529619308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529654029
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414529657442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414529659493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529662660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414529720905
