what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308444930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308447348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308484044
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415308484948
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415308494097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308553234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308570628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415308572480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308583457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308609390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1415308609403
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415308610286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415308627887
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415308636571
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415308638822
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415308638937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308641127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308641930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308642261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308649896
opened,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1415308652516
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1415308652627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308664647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415308667591
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415308670203
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1415308671774
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415308672906
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415308679214
