127.0.0.1 - - [10/Nov/2014:12:46:28 -0500] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/exRateWeb HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/jquery-ui.js HTTP/1.1" 200 469828
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/js/i18n/grid.locale-en.js HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/jquery-ui.css HTTP/1.1" 200 35392
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/css/ui.jqgrid.css HTTP/1.1" 200 13086
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery-1.11.1.min.js HTTP/1.1" 200 95887
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/js/jquery.jqGrid.min.js HTTP/1.1" 200 274586
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/jquery-ui.js HTTP/1.1" 200 469828
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/js/jquery.jqGrid.min.js HTTP/1.1" 200 274586
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:35 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/js/i18n/grid.locale-en.js HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:36 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/jquery-ui.css HTTP/1.1" 200 35392
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:36 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:36 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:37 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_highlight-soft_75_ffe45c_1x100.png HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:37 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5828
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:37 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:39 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:39 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4562
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:49 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:49 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:49 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6935
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:46:51 -0500] "GET /ExRateSvc/name/Ashish/20140904/20141110/usd/*/json?_search=false&nd=1415641609828&rows=10&page=1&sidx=id&sord=desc HTTP/1.1" 200 37694
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:47:10 -0500] "GET /ExRateSvc/name/Ashish/20140903/20141107/usd/*/xml HTTP/1.1" 200 51553
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:47:18 -0500] "GET /ExRateSvc/name/Ashish/20140903/20141107/usd/*/xml HTTP/1.1" 200 51553
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:47:27 -0500] "GET /ExRateSvc/name/Ashish/20140903/20141107/usd/jpy/xml HTTP/1.1" 200 7457
0:0:0:0:0:0:0:1 - - [10/Nov/2014:12:47:35 -0500] "GET /ExRateSvc/name/Ashish/20140903/20141107/usd/*/xml HTTP/1.1" 200 51553
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:54 -0500] "GET /ExRateSvc/exRateWeb HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:54 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/js/i18n/grid.locale-en.js HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:54 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/css/ui.jqgrid.css HTTP/1.1" 200 13086
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:54 -0500] "GET /ExRateSvc/jquery/jquery-1.11.1.min.js HTTP/1.1" 200 95887
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:54 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/jquery-ui.css HTTP/1.1" 200 35392
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:55 -0500] "GET /ExRateSvc/jquery/jquery.jqGrid-4.6.0/js/jquery.jqGrid.min.js HTTP/1.1" 200 274586
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:55 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/jquery-ui.js HTTP/1.1" 200 469828
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:12:55 -0500] "GET /ExRateSvc/jquery/jquery-ui-1.11.2.custom/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 274
